246591,大鱼海棠,0.39,0.61,0.12,0.34,0.24,0.13,0.09,0.09,0.3,0.7,0.43,0.26,0.19,0.13,其他,0.54,白领,0.3,学生,0.16,动作,0.32,爱情,0.28,科幻,0.14,喜剧,0.12,动画,0.05,美人鱼,疯狂动物城,魔兽,寻龙诀,美国队长3,港囧,捉妖记,西游记之大圣归来,奇幻森林,夏洛特烦恼
344881,你的名字。,0.48,0.52,0.22,0.42,0.18,0.06,0.04,0.09,0.34,0.66,0.44,0.23,0.18,0.14,其他,0.49,学生,0.28,白领,0.22,动作,0.32,爱情,0.28,科幻,0.15,喜剧,0.13,动画,0.05,从你的全世界路过,美人鱼,奇异博士,湄公河行动,疯狂动物城,大鱼海棠,魔兽,美国队长3,神奇动物在哪里,寻龙诀
344961,逗鸟外传：萌宝满天飞,0.38,0.62,0.07,0.24,0.26,0.23,0.14,0.08,0.28,0.71,0.43,0.25,0.2,0.13,其他,0.55,白领,0.34,学生,0.11,动作,0.32,爱情,0.28,科幻,0.14,喜剧,0.12,动画,0.07,疯狂动物城,美人鱼,爱宠大机密,冰川时代5：星际碰撞,湄公河行动,愤怒的小鸟,奇幻森林,功夫熊猫3,从你的全世界路过,魔兽
246063,美人鱼,0.45,0.55,0.08,0.32,0.28,0.14,0.09,0.09,0.27,0.73,0.41,0.25,0.2,0.13,其他,0.57,白领,0.32,学生,0.11,动作,0.32,爱情,0.29,科幻,0.15,喜剧,0.12,动画,0.05,港囧,寻龙诀,唐人街探案,捉妖记,夏洛特烦恼,疯狂动物城,速度与激情7,澳门风云3,恶棍天使,侏罗纪世界
248918,神奇动物在哪里,0.48,0.52,0.13,0.4,0.24,0.1,0.05,0.08,0.37,0.63,0.46,0.2,0.18,0.17,其他,0.48,白领,0.31,学生,0.21,动作,0.32,爱情,0.28,科幻,0.16,喜剧,0.12,动画,0.05,奇异博士,美人鱼,疯狂动物城,湄公河行动,美国队长3,你的名字。,寻龙诀,魔兽,X战警：天启,从你的全世界路过
1188324,情圣,0.46,0.55,0.09,0.35,0.29,0.13,0.07,0.07,0.31,0.69,0.43,0.25,0.2,0.12,其他,0.52,白领,0.35,学生,0.14,动作,0.32,爱情,0.29,科幻,0.15,喜剧,0.13,动画,0.04,美人鱼,长城,从你的全世界路过,湄公河行动,港囧,唐人街探案,夏洛特烦恼,寻龙诀,疯狂动物城,摆渡人
246286,疯狂动物城,0.42,0.57,0.07,0.33,0.28,0.15,0.09,0.08,0.34,0.66,0.45,0.21,0.18,0.15,其他,0.5,白领,0.37,学生,0.12,动作,0.32,爱情,0.28,科幻,0.15,喜剧,0.12,动画,0.06,美人鱼,寻龙诀,功夫熊猫3,港囧,捉妖记,奇幻森林,夏洛特烦恼,美国队长3,唐人街探案,速度与激情7
560471,英伦迷案
248616,爵迹,0.43,0.56,0.13,0.34,0.24,0.12,0.08,0.09,0.25,0.75,0.41,0.26,0.2,0.12,其他,0.57,白领,0.27,学生,0.17,动作,0.32,爱情,0.29,科幻,0.15,喜剧,0.13,动画,0.04,美人鱼,港囧,从你的全世界路过,捉妖记,盗墓笔记,寻龙诀,唐人街探案,疯狂动物城,魔兽,湄公河行动
246234,美国队长3,0.52,0.48,0.09,0.34,0.28,0.13,0.08,0.09,0.3,0.7,0.44,0.22,0.19,0.15,其他,0.52,白领,0.35,学生,0.13,动作,0.32,爱情,0.28,科幻,0.16,喜剧,0.12,动画,0.04,美人鱼,复仇者联盟2：奥创纪元,港囧,疯狂动物城,寻龙诀,速度与激情7,侏罗纪世界,捉妖记,星球大战：原力觉醒,X战警：天启
