341204,黑寡妇,67.5%,32.5%,5%,28%,25.4%,15.4%,12.1%,14.1%,37%,63%,43.7%,21.5%,19.9%,14.9%,白领 55.3%,其他 29.5%,学生 15.2%,动作 53.8%,科幻 11.8%,爱情 10.3%,喜剧 9.7%,动画 6%,复仇者联盟3：无限战争,毒液：致命守护者,黑豹,蚁人2：黄蜂女现身,海王,头号玩家,侏罗纪世界2,唐人街探案2,我不是药神,流浪地球
672148,从21世纪安全撤离,20.1%,79.9%,23.6%,29.4%,11.3%,5.9%,11.2%,18.5%,65.8%,34.2%,38.2%,24%,21.6%,16.3%,其他 47.8%,学生 36.6%,白领 15.6%,动作 41.5%,爱情 19.5%,喜剧 14.4%,科幻 8.5%,动画 5.9%,爱情公寓,唐人街探案2,流浪地球,飞驰人生,西虹市首富,疯狂的外星人,快把我哥带走,后来的我们,捉妖记2,我不是药神
1250716,奇异博士2
78461,阿凡达2,67.1%,32.9%,5.3%,29.9%,27%,15.8%,10.5%,11.6%,40.2%,59.8%,43.5%,23.1%,20%,13.3%,白领 53.4%,其他 31.9%,学生 14.7%,动作 52.9%,科幻 12.2%,爱情 10.4%,喜剧 9.4%,动画 6%,复仇者联盟3：无限战争,唐人街探案2,侏罗纪世界2,我不是药神,海王,红海行动,毒液：致命守护者,头号玩家,流浪地球,西虹市首富
343034,速度与激情9,72.9%,27%,5.3%,29.1%,28.7%,14.6%,9.9%,12.3%,43.6%,56.4%,43.1%,21.2%,20.4%,15.3%,白领 54.5%,其他 33.6%,学生 11.9%,动作 60.5%,喜剧 10.6%,爱情 9.5%,科幻 8.7%,动画 4.1%,复仇者联盟3：无限战争,唐人街探案2,毒液：致命守护者,红海行动,海王,侏罗纪世界2,我不是药神,西虹市首富,流浪地球,碟中谍6：全面瓦解
1217023,唐人街探案3,57.9%,42.1%,5.2%,25.9%,23.1%,15.4%,14.4%,16%,44.5%,55.5%,41.8%,24.5%,20.7%,12.9%,白领 50.1%,其他 36.1%,学生 13.7%,动作 48.6%,爱情 13.3%,喜剧 12.6%,科幻 8.3%,动画 8.2%,唐人街探案2,复仇者联盟3：无限战争,我不是药神,西虹市首富,捉妖记2,流浪地球,红海行动,毒液：致命守护者,疯狂的外星人,飞驰人生
78461,阿凡达2,67.1%,32.9%,5.3%,29.9%,27%,15.8%,10.5%,11.6%,40.2%,59.8%,43.5%,23.1%,20%,13.3%,白领 53.4%,其他 31.9%,学生 14.7%,动作 52.9%,科幻 12.2%,爱情 10.4%,喜剧 9.4%,动画 6%,复仇者联盟3：无限战争,唐人街探案2,侏罗纪世界2,我不是药神,海王,红海行动,毒液：致命守护者,头号玩家,流浪地球,西虹市首富
343034,速度与激情9,72.9%,27%,5.3%,29.1%,28.7%,14.6%,9.9%,12.3%,43.6%,56.4%,43.1%,21.2%,20.4%,15.3%,白领 54.5%,其他 33.6%,学生 11.9%,动作 60.5%,喜剧 10.6%,爱情 9.5%,科幻 8.7%,动画 4.1%,复仇者联盟3：无限战争,唐人街探案2,毒液：致命守护者,红海行动,海王,侏罗纪世界2,我不是药神,西虹市首富,流浪地球,碟中谍6：全面瓦解
1217023,唐人街探案3,57.9%,42.1%,5.2%,25.9%,23.1%,15.4%,14.4%,16%,44.5%,55.5%,41.8%,24.5%,20.7%,12.9%,白领 50.1%,其他 36.1%,学生 13.7%,动作 48.6%,爱情 13.3%,喜剧 12.6%,科幻 8.3%,动画 8.2%,唐人街探案2,复仇者联盟3：无限战争,我不是药神,西虹市首富,捉妖记2,流浪地球,红海行动,毒液：致命守护者,疯狂的外星人,飞驰人生
1251639,毒液2,51.2%,48.8%,10.1%,16%,17.2%,16.9%,21.5%,18.3%,46.8%,53.2%,44.3%,19%,18.4%,18.2%,白领 50.9%,其他 39.7%,学生 9.4%,动作 47%,动画 13.1%,喜剧 10.8%,爱情 9.8%,科幻 9.7%,毒液：致命守护者,复仇者联盟3：无限战争,流浪地球,海王,大黄蜂,侏罗纪世界2,蚁人2：黄蜂女现身,唐人街探案2,西虹市首富,捉妖记2
